"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0121","call","System.Linq.Enumerable","ToArray","!!0[] System.Linq.Enumerable::ToArray<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_013C","ldftn","DolocAPI/<>c","<RollFish>b__364_3","System.Int32 DolocAPI/<>c::<RollFish>b__364_3(DolocTown.Config.Fishing.FishInfo)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0142","newobj","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Int32>",".ctor","System.Void System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Int32>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_014D","call","System.Linq.Enumerable","Select","System.Collections.Generic.IEnumerable`1<!!1> System.Linq.Enumerable::Select<DolocTown.Config.Fishing.FishInfo,System.Int32>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,!!1>)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_015F","ldftn","DolocAPI/<>c__DisplayClass364_0","<RollFish>b__4","System.Int32 DolocAPI/<>c__DisplayClass364_0::<RollFish>b__4(System.Int32)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0185","ldftn","DolocAPI/<>c__DisplayClass364_0","<RollFish>b__5","System.Boolean DolocAPI/<>c__DisplayClass364_0::<RollFish>b__5(DolocTown.Config.Fishing.FishInfo)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_018B","newobj","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>",".ctor","System.Void System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0190","call","System.Linq.Enumerable","Where","System.Collections.Generic.IEnumerable`1<!!0> System.Linq.Enumerable::Where<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,System.Boolean>)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0195","call","System.Linq.Enumerable","ToArray","!!0[] System.Linq.Enumerable::ToArray<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_019C","call","RedSaw.RandomUtils","Choice","T RedSaw.RandomUtils::Choice<DolocTown.Config.Fishing.FishInfo>(T[])"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_001C","callvirt","DolocTown.Config.Tables","get_TbFishingPool","DolocTown.Config.Fishing.TbFishingPool DolocTown.Config.Tables::get_TbFishingPool()"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0022","callvirt","DolocTown.Config.Fishing.TbFishingPool","GetOrDefault","DolocTown.Config.Fishing.FishingPoolInfo DolocTown.Config.Fishing.TbFishingPool::GetOrDefault(System.String)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0043","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_Fishes_Ref","System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo> DolocTown.Config.Fishing.FishingPoolInfo::get_Fishes_Ref()"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0048","call","DolocTown.DolocPatch","IsNullOrEmpty","System.Boolean DolocTown.DolocPatch::IsNullOrEmpty<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<T>)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0068","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_GarbageProbability","System.Single DolocTown.Config.Fishing.FishingPoolInfo::get_GarbageProbability()"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0078","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_Fishes_Ref","System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo> DolocTown.Config.Fishing.FishingPoolInfo::get_Fishes_Ref()"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_008B","ldftn","DolocAPI/<>c","<RollFishByRarity>b__365_0","System.Boolean DolocAPI/<>c::<RollFishByRarity>b__365_0(DolocTown.Config.Fishing.FishInfo)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0091","newobj","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>",".ctor","System.Void System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_009C","call","System.Linq.Enumerable","Count","System.Int32 System.Linq.Enumerable::Count<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,System.Boolean>)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00AB","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_Fishes_Ref","System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo> DolocTown.Config.Fishing.FishingPoolInfo::get_Fishes_Ref()"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00B1","ldftn","DolocAPI/<>c__DisplayClass365_0","<RollFishByRarity>b__1","System.Boolean DolocAPI/<>c__DisplayClass365_0::<RollFishByRarity>b__1(DolocTown.Config.Fishing.FishInfo)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00B7","newobj","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>",".ctor","System.Void System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00BC","call","System.Linq.Enumerable","Where","System.Collections.Generic.IEnumerable`1<!!0> System.Linq.Enumerable::Where<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,System.Boolean>)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00C1","call","System.Linq.Enumerable","ToArray","!!0[] System.Linq.Enumerable::ToArray<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00D6","ldftn","DolocAPI/<>c","<RollFishByRarity>b__365_2","System.Boolean DolocAPI/<>c::<RollFishByRarity>b__365_2(DolocTown.Config.Fishing.FishInfo)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00DC","newobj","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>",".ctor","System.Void System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00E7","call","System.Linq.Enumerable","Where","System.Collections.Generic.IEnumerable`1<!!0> System.Linq.Enumerable::Where<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,System.Boolean>)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00EC","call","System.Linq.Enumerable","ToArray","!!0[] System.Linq.Enumerable::ToArray<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>)"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_00F9","call","RedSaw.RandomUtils","Choice","T RedSaw.RandomUtils::Choice<DolocTown.Config.Fishing.FishInfo>(T[])"
"DolocAPI","SendCatchFishEvent","System.Void DolocAPI::SendCatchFishEvent(DolocTown.Config.Fishing.FishInfo)","IL_0005","callvirt","DolocTown.Config.Fishing.FishInfo","get_Id","System.String DolocTown.Config.Fishing.FishInfo::get_Id()"
"DolocAPI","SendCatchFishEvent","System.Void DolocAPI::SendCatchFishEvent(DolocTown.Config.Fishing.FishInfo)","IL_000C","callvirt","DolocTown.Config.Fishing.FishInfo","get_IsFish","System.Boolean DolocTown.Config.Fishing.FishInfo::get_IsFish()"
"DolocAPI","SendCatchFishEvent","System.Void DolocAPI::SendCatchFishEvent(DolocTown.Config.Fishing.FishInfo)","IL_0020","callvirt","DolocTown.Config.Fishing.FishInfo","get_IsFish","System.Boolean DolocTown.Config.Fishing.FishInfo::get_IsFish()"
"DolocAPI","CheckFishUnlocked","System.Boolean DolocAPI::CheckFishUnlocked(System.String)","IL_0010","callvirt","DolocTown.ResourceManager","CheckFishUnlocked","System.Boolean DolocTown.ResourceManager::CheckFishUnlocked(System.String)"
"DolocAPI","Command_UnlockFish","System.Void DolocAPI::Command_UnlockFish(System.String)","IL_0010","callvirt","DolocTown.ResourceManager","UnlockFish","System.Void DolocTown.ResourceManager::UnlockFish(System.String)"
"DolocAPI","Command_LockFish","System.Void DolocAPI::Command_LockFish(System.String)","IL_0010","callvirt","DolocTown.ResourceManager","LockFish","System.Void DolocTown.ResourceManager::LockFish(System.String)"
"DolocAPI","Command_GetObtainedUniqueFishCount","System.Int32 DolocAPI::Command_GetObtainedUniqueFishCount()","IL_000F","callvirt","DolocTown.DocumentManager","get_fishDocMgr","DolocTown.FishDocumentManager DolocTown.DocumentManager::get_fishDocMgr()"
"DolocAPI","Command_GetObtainedUniqueFishCount","System.Int32 DolocAPI::Command_GetObtainedUniqueFishCount()","IL_0014","callvirt","DolocTown.FishDocumentManager","GetObtainedUniqueFishCount","System.Int32 DolocTown.FishDocumentManager::GetObtainedUniqueFishCount()"
