"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0061","callvirt","DolocTown.GameData.ArchiveDataHandle","get_InventorySystem","DolocTown.InventorySystem DolocTown.GameData.ArchiveDataHandle::get_InventorySystem()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0066","callvirt","DolocTown.InventorySystem","get_inventory","DolocTown.LinearInventory DolocTown.InventorySystem::get_inventory()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_006B","callvirt","DolocTown.UI.QuickInventoryPanel","BindQuickInventory","System.Void DolocTown.UI.QuickInventoryPanel::BindQuickInventory(DolocTown.LinearInventory)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0114","call","DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)"
"DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)","IL_0006","callvirt","DolocTown.Config.Tables","get_TbItem","DolocTown.Config.Item.TbItem DolocTown.Config.Tables::get_TbItem()"
"DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)","IL_0015","callvirt","DolocTown.Config.Item.TbItem","GetOrDefault","DolocTown.Config.Item.ItemInfo DolocTown.Config.Item.TbItem::GetOrDefault(System.String)"
"DolocAPI","GetItemTitle","System.String DolocAPI::GetItemTitle(System.String)","IL_0002","call","DolocAPI","GenerateItem","DolocTown.Item DolocAPI::GenerateItem(System.String,System.Int32)"
"DolocAPI","GetItemTitle","System.String DolocAPI::GetItemTitle(System.String)","IL_0012","callvirt","DolocTown.Item","get_title","System.String DolocTown.Item::get_title()"
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","IL_0005","callvirt","DolocTown.Config.Tables","get_TbItemOrder","DolocTown.Config.Item.TbItemOrder DolocTown.Config.Tables::get_TbItemOrder()"
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","IL_0014","callvirt","DolocTown.Config.Item.TbItemOrder","GetOrDefault","DolocTown.Config.Item.ItemOrderInfo DolocTown.Config.Item.TbItemOrder::GetOrDefault(System.String)"
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","IL_0024","callvirt","DolocTown.Config.Item.ItemOrderInfo","get_CustomOrder","System.Single DolocTown.Config.Item.ItemOrderInfo::get_CustomOrder()"
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","IL_0031","callvirt","DolocTown.Config.Item.ItemOrderInfo","get_SortingOrder","System.Single DolocTown.Config.Item.ItemOrderInfo::get_SortingOrder()"
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","IL_0038","callvirt","DolocTown.Config.Item.ItemOrderInfo","get_CustomOrder","System.Single DolocTown.Config.Item.ItemOrderInfo::get_CustomOrder()"
"DolocAPI","GetItemDescription","System.String DolocAPI::GetItemDescription(System.String)","IL_0002","call","DolocAPI","GenerateItem","DolocTown.Item DolocAPI::GenerateItem(System.String,System.Int32)"
"DolocAPI","GetItemDescription","System.String DolocAPI::GetItemDescription(System.String)","IL_0012","callvirt","DolocTown.Item","get_description","System.String DolocTown.Item::get_description()"
"DolocAPI","GetItemSprite","UnityEngine.Sprite DolocAPI::GetItemSprite(System.String)","IL_0003","call","DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)"
"DolocAPI","GetItemSprite","UnityEngine.Sprite DolocAPI::GetItemSprite(System.String)","IL_000D","callvirt","DolocTown.Config.Item.ItemInfo","get_UiSpriteAsset","DolocTown.SpriteAsset DolocTown.Config.Item.ItemInfo::get_UiSpriteAsset()"
"DolocAPI","IsItemSalable","System.Boolean DolocAPI::IsItemSalable(DolocTown.Item)","IL_0004","callvirt","DolocTown.Item","get_salable","System.Boolean DolocTown.Item::get_salable()"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(DolocTown.Item)","IL_0002","callvirt","DolocTown.Item","get_sellingPrice","System.Int32 DolocTown.Item::get_sellingPrice()"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)","IL_0003","call","DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)","IL_000D","callvirt","DolocTown.Config.Item.ItemInfo","get_SellingPrice","System.Int32 DolocTown.Config.Item.ItemInfo::get_SellingPrice()"
