"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_000B","callvirt","DolocTown.SceneManager","UnloadSceneAsync","System.Void DolocTown.SceneManager::UnloadSceneAsync(System.String,System.Action)"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_0016","callvirt","DolocTown.GameData.DataPersistenceManager","NewGame","System.Void DolocTown.GameData.DataPersistenceManager::NewGame(System.Int32)"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_0025","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_002A","callvirt","DolocTown.GameData.GameInitConfig","InitNewGame","System.Void DolocTown.GameData.GameInitConfig::InitNewGame(DolocTown.GameData.ArchiveDataHandle)"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_0030","call","DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","IL_001B","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","IL_0020","callvirt","DolocTown.GameData.ArchiveDataHandle","get_dungeonData","DolocTown.GameData.DungeonArchiveData DolocTown.GameData.ArchiveDataHandle::get_dungeonData()"
"DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)","IL_0006","callvirt","DolocTown.GameData.DataPersistenceManager","LoadGame","System.Boolean DolocTown.GameData.DataPersistenceManager::LoadGame(System.Int32)"
"DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)","IL_001A","callvirt","DolocTown.SceneManager","UnloadSceneAsync","System.Void DolocTown.SceneManager::UnloadSceneAsync(System.String,System.Action)"
"DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)","IL_0020","call","DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)"
"DolocAPI","DuplicateGame","System.Boolean DolocAPI::DuplicateGame(System.Int32,System.Int32&)","IL_0007","callvirt","DolocTown.GameData.DataPersistenceManager","DuplicateGame","System.Boolean DolocTown.GameData.DataPersistenceManager::DuplicateGame(System.Int32,System.Int32&)"
"DolocAPI","ResetArchiveState","System.Void DolocAPI::ResetArchiveState()","IL_0000","call","DolocAPI","UnloadDrone","System.Void DolocAPI::UnloadDrone()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0005","callvirt","PPManager","AfterLoadArchiveData","System.Void PPManager::AfterLoadArchiveData()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_001E","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0024","callvirt","DolocTown.GameData.ArchiveDataHandle","RenderWeatherAndDayNight","System.Void DolocTown.GameData.ArchiveDataHandle::RenderWeatherAndDayNight(System.Boolean)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_005C","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0061","callvirt","DolocTown.GameData.ArchiveDataHandle","get_InventorySystem","DolocTown.InventorySystem DolocTown.GameData.ArchiveDataHandle::get_InventorySystem()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_009A","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_009F","callvirt","DolocTown.GameData.ArchiveDataHandle","get_cityData","DolocTown.GameData.CityArchiveData DolocTown.GameData.ArchiveDataHandle::get_cityData()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00B7","callvirt","DolocTown.Config.NPC.NpcInfo","get_ShouldPreload","System.Boolean DolocTown.Config.NPC.NpcInfo::get_ShouldPreload()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_011A","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_011F","callvirt","DolocTown.GameData.ArchiveDataHandle","get_cityData","DolocTown.GameData.CityArchiveData DolocTown.GameData.ArchiveDataHandle::get_cityData()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0161","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0166","callvirt","DolocTown.GameData.ArchiveDataHandle","get_extraData","DolocTown.GameData.ExtraArchiveData DolocTown.GameData.ArchiveDataHandle::get_extraData()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_0178","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_017D","callvirt","DolocTown.GameData.ArchiveDataHandle","get_baseDataOnLoad","DolocTown.BaseArchiveData DolocTown.GameData.ArchiveDataHandle::get_baseDataOnLoad()"
